"Name","TID","Disabled","ExistsApple","ExistsAndroid","ExistsKunlun","ExistsJupiter","Diamonds","USD","RMB","Order","IconFile","JupiterID","StarterPackName","IsRedPackage","RumblePackName","ChronosOfferName","RedeemMax","CampaignId"
"com.supercell.scroll.specialoffertier3","TID_SPECIAL_OFFER_3",,"TRUE","TRUE","TRUE","TRUE",,299,1800,,"shop_gems01","GD2017030110293403345487",,,,"ChronosOffer_3",,
"com.supercell.scroll.specialoffertier4","TID_SPECIAL_OFFER_4",,"TRUE","TRUE","TRUE","TRUE",,399,2500,,"shop_gems01","GD2017030111182003209889",,,,"ChronosOffer_4",,
"com.supercell.scroll.specialoffertier5","TID_SPECIAL_OFFER_5",,"TRUE","TRUE","TRUE","TRUE",,499,3000,,"shop_gems01","GD2017030111263203326386",,,,"ChronosOffer_5",,
"com.supercell.scroll.specialoffertier6","TID_SPECIAL_OFFER_6",,"TRUE","TRUE","TRUE","TRUE",,599,4000,,"shop_gems01","GD2017030111292503252769",,,,"ChronosOffer_6",,
"com.supercell.scroll.specialoffertier7","TID_SPECIAL_OFFER_7",,"TRUE","TRUE","TRUE","TRUE",,699,4500,,"shop_gems01","GD2017030111314103413038",,,,"ChronosOffer_7",,
"com.supercell.scroll.specialoffertier8","TID_SPECIAL_OFFER_8",,"TRUE","TRUE","TRUE","TRUE",,799,5000,,"shop_gems01","GD2017030111333203324567",,,,"ChronosOffer_8",,
"com.supercell.scroll.specialoffertier9","TID_SPECIAL_OFFER_9",,"TRUE","TRUE","TRUE","TRUE",,899,6000,,"shop_gems01","GD2017030111361103116793",,,,"ChronosOffer_9",,
"com.supercell.scroll.specialoffertier10","TID_SPECIAL_OFFER_10",,"TRUE","TRUE","TRUE","TRUE",,999,6800,,"shop_gems01","GD2017030111380203027724",,,,"ChronosOffer_10",,
"com.supercell.scroll.specialoffertier15","TID_SPECIAL_OFFER_15",,"TRUE","TRUE","TRUE","TRUE",,1499,9800,,"shop_gems01","GD2017030111395403541218",,,,"ChronosOffer_15",,
"com.supercell.scroll.specialoffertier20","TID_SPECIAL_OFFER_20",,"TRUE","TRUE","TRUE","TRUE",,1999,12800,,"shop_gems01","GD2017030111412503256519",,,,"ChronosOffer_20",,
"com.supercell.scroll.specialoffertier50","TID_SPECIAL_OFFER_50",,"TRUE","TRUE","TRUE","TRUE",,4999,32800,,"shop_gems01","GD2017030111425403545830",,,,"ChronosOffer_50",,
"com.supercell.scroll.specialoffertier60","TID_SPECIAL_OFFER_60",,"TRUE","TRUE","TRUE","TRUE",,9999,64800,,"shop_gems01","GD2017030111441503152823",,,,"ChronosOffer_60",,
"com.supercell.scroll.consumablestarterpack8","TID_STARTER_PACK_8",,"TRUE","TRUE","TRUE","TRUE",,2499,16300,,"shop_gems01","GD2017030111452503254030","StarterPackArenaT",,,,,
"com.supercell.scroll.cardcampaignpack1","TID_REDEEM_PACK_1",,,"TRUE",,,100,99,,,,,,,,,5,1
"com.supercell.scroll.cardcampaignpack2","TID_REDEEM_PACK_2",,,"TRUE",,,200,199,,,,,,,,,5,1
"com.supercell.scroll.cardcampaignpack3","TID_REDEEM_PACK_3",,,"TRUE",,,500,499,,,,,,,,,5,1
"com.supercell.scroll.cardcampaignpack4","TID_REDEEM_PACK_4",,,"TRUE",,,1500,1199,,,,,,,,,5,1
"com.supercell.scroll.consumablestarterpack9","TID_STARTER_PACK_9",,"TRUE","TRUE","TRUE","TRUE",,99,600,,"shop_gems01","GD2017052309500305038302","StarterPackArena1",,,,,
"com.supercell.scroll.consumablestarterpack10","TID_STARTER_PACK_10",,"TRUE","TRUE","TRUE","TRUE",,99,600,,"shop_gems01","GD2017052309510405041568","StarterPackArena2",,,,,
