Name,NumberValue,BooleanValue,TextValue,StringArray,NumberArray
HIDE_WECHAT_BUTTON_IF_NOT_INSTALLED,,TRUE,,,
HIDE_WECHAT_BUTTON_IF_NOT_INSTALLED_ANDROID,,FALSE,,,
TOURNAMENT_SORT_BY_CAPACITY,,TRUE,,,
4K_FONT_TEXTURE_MEMORY_LIMIT,1500,,,,
4K_FONT_TEXTURE_MEMORY_LIMIT_ANDROID,1000,,,,
CLEAR_FONT_TEXTURE_BEFORE_BATTLE,,FALSE,,,
CLEAR_FONT_TEXTURE_BEFORE_BATTLE_ANDROID,,FALSE,,,
QQ_TARGET_URL,,,http://gamecenter.qq.com/gcjump?appid=1105383847&pf=invite&from=iphoneqq&plat=qq&originuin=111&ADTAG=gameobj.msg_invite,,
QQ_TARGET_URL_ANDROID,,,http://gamecenter.qq.com/gcjump?appid=1105383847&pf=invite&from=androidqq&plat=qq&originuin=111&ADTAG=gameobj.msg_invite,,
QQ_IMAGE_URL,,,http://image.clashroyale.qq.com/CR_icon_200x200.png,,
WECHAT_MEDIA_TAG,,,MSG_INVITE,,
WECHAT_IMAGE_PATH,,,image/icon_wechat_200x200.png,,
VERIFY_FRIENDLY_BATTLE_IN_CLIENT,,TRUE,,,
DISABLE_EXTRA_CACHING_IN_TUTORIAL,,TRUE,,,
ENABLE_FRIENDLY_CHALLENGE,,TRUE,,,
NOTIFY_IF_NOT_FRIEND,,TRUE,,,
FRIENDLY_CHALLENGE_REPLAY_ENABLED,,TRUE,,,
PLAY_MISSING_EFFECTS_WHEN_ENTERING_BATTLE,,TRUE,,,
CACHE_FRIENDS_SECONDS,120,,,,
EVENT_SCREEN_TAB_BUTTON_ANALYTICS,,TRUE,,,
TUTORIAL_HAND_FADE_IN_MS,300,,,,
TUTORIAL_HAND_FADE_IN_AFTER_TARGET_CHANGES,,TRUE,,,
SHOW_CLAN_PAGE_NOTIFICATIONS_IN_BUTTONS,,TRUE,,,
FRIEND_SPECTATE_ENABLED,,TRUE,,,
SHOW_PVP_SPECTATOR_COUNT,,TRUE,,,
TENCENT_FRIENDLY_CHALLENGE_SHARE,,TRUE,,,
PRELOAD_BATTLE_MUSIC,,TRUE,,,
BLACK_SCREEN_FIX,,TRUE,,,
CLEAR_BATTLE_RESULT_MESSAGE_IN_HOME,,TRUE,,,
TOP_HUD_GRADIENT_INTERACTIVE,,FALSE,,,
STAGGERED_SPELL_LIST_SHOW_ON_XP_LEVEL,4,,,,
SHOW_STAGGERED_SPELL_LIST,,TRUE,,,
FORCE_REQUEST_FRIENDS_IN_HOME,,TRUE,,,
ASK_FRIEND_STATUS_AFTER_HIBERNATE,,TRUE,,,
CAN_CHALLENGE_OFFLINE_FRIENDS,,TRUE,,,
RELEASE_BATTLE_END_SC,,FALSE,,,
PRODUCT_RED_ENABLED,,FALSE,,,
EMPTY_INBOX_UI_FIX,,TRUE,,,
LOAD_ASSETS_DURING_LOGIN,,TRUE,,,
RUMBLE_URL,,,http://gaming.youtube.com/kingscup,,
RUMBLE_HIDE_LINK_COUNTRY_CODES,,,,CO,
PRODUCT_RED_LIKE_URL,,,https://www.facebook.com/joinred,,
DONATE_CONTINUOUS_PRESS,,TRUE,,,
RUMBLE_URL_OVERRIDE_COUNTRY_CODES,,,,KZ,
RUMBLE_URL_OVERRIDE_COUNTRY_URLS,,,,https://www.youtube.com/c/%EB%B0%B0%ED%8B%80%EB%A1%9C%EC%96%84/live,
RUMBLE_HIDE_LINK_LANGUAGE_CODES,,,,CN,
,,,,CNT,
CHEST_OPEN_SHOW_ALL_REWARDS,,TRUE,,,
NEW_ARENA_COLORS,,,,0xFFDA65,
,,,,0xFFDA65,
,,,,0xF7F9FC,
,,,,0xFFDA65,
,,,,0xFFDA65,
,,,,0xFFB64A,
,,,,0xEB8F23,
,,,,0xFFDA65,
STAGGERED_ARENA_POPUP_MIN_TROPHIES,1000,,,,
KOREAN_SHOP_DISCLAIMER_TEXT,,,"청약철회는 구매일로부터 7일 이내 가능(단, 사용 시 철회불가) 법정대리인 동의 없는 미성년자명의 결제 시 취소가능",,
KOREAN_SHOP_DISCLAIMER_BUTTON,,,자세히보기,,
EVENT_NOTIFICATION_MAX_TIME_OFFSET_MINUTES,15,,,,
EVENT_END_NOTIFICATION_MINUTES_BEFORE_END,120,,,,
CHARACTER_ANGLE_INITIAL_FILTERING,,TRUE,,,
UPDATE_TIER_FROM_SERVER,,TRUE,,,
CONTENT_DOWNLOAD_ENABLED,,TRUE,,,
CONTENT_DOWNLOAD_ENABLED_DURING_BATTLE,,FALSE,,,
CONTENT_DOWNLOAD_ENABLED_DURING_NPC,,TRUE,,,
ROYAL_BOX_URL_WHITE_LIST,,,,https://www.youtube.com/embed/,
,,,,about:blank,
ROYAL_BOX_DOMAIN_WHITE_LIST,,,,clashroyale.com,
,,,,kunlun-cdn.com,
,,,,accounts.google.com,
,,,,cr.kunlun.com,
ROYAL_BOX_URL_PARAM_USER_AGENT,,,supercell-in-game,,
ROYAL_BOX_PASS_ALL_EVENT_TIMES,,TRUE,,,
LOAD_ONLY_LOWRES_TEX,,FALSE,,,
SORT_ARENAS_DESCENDING,,TRUE,,,
DEVICE_LINK_ERROR_POPUP_LINK_BUTTON_ENABLED,,,,,
SHOW_OLD_LEGEND_TROPHIES,,TRUE,,,
SHOW_OLD_STORED_LEGEND_STATS,,FALSE,,,
SHOW_OLD_CURRENT_LEGEND_STATS,,FALSE,,,
SOUNDS_TUTORIAL,,,,Tut_jing_time_1,
,,,,Tut_jing_time_2,
,,,,Tut_count_01,
,,,,Tut_count_01,
,,,,Tut_count_01,
,,,,Tut_count_01,
,,,,Tut_count_01,
,,,,Tut_count_01,
,,,,Tut_count_01,
,,,,Tut_count_01,
,,,,Tut_count_01,
,,,,Tut_count_01,
SOUNDS_PVP,,,,60sec_warn_01,
,,,,30sec_warn_01,
,,,,Countdown_10,
,,,,Countdown_9,
,,,,Countdown_8,
,,,,Countdown_7,
,,,,Countdown_6,
,,,,Countdown_5,
,,,,Countdown_4,
,,,,Countdown_3,
,,,,Countdown_2,
,,,,Countdown_1,
SOUND_START_TIMES,,,,,180
,,,,,60
,,,,,30
,,,,,10
,,,,,9
,,,,,8
,,,,,7
,,,,,6
,,,,,5
,,,,,4
,,,,,3
,,,,,2
,,,,,1
MUSIC_START_TIMES,,,,,180
,,,,,60
,,,,,30
MUSICS_TUTORIAL,,,,TrainingArena,
,,,,60sec_training,
MUSICS_PVP,,,,BattleMusic,
,,,,60sec_loop,
,,,,30sec_loop,
SHOW_TEAM_BATTLE_INGAME_NOTIFICATION,,TRUE,,,
SHOW_MAIN_MENU_ARENA_NUMBER,,FALSE,,,
MAXIMUM_DAYS_FOR_NEW_SPELL_POPUP,30,,,,
ENABLE_ROYAL_BOX_EVENTS,,FALSE,,,
ENABLE_CHAT_REPORTING,,TRUE,,,
SHOW_NEW_SPELL_TEASER,,TRUE,,,
CARD_CYCLE_CONDITION_CHINA,,,每3个月都将刷新出所有已解锁的卡牌。商店每天24点刷新。,,
CHINA_GAME_CENTER,,,Game Center 登录,,
CHINA_LOADING_WARNING,,,本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。\n抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。\n适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。\n文网游进字【2016】0024号\n新广出审【2016】396号\n出版物号：ISBN 978-7-89988-603-8\n著作权人：SUPERCELL OY\n出版单位：北京昆仑乐享网络技术有限公司,,
CHINESE_GIFT,,,赠,,
CHINA_REGULATIONS_ENABLED,,TRUE,,,
CHINA_SHOP_LABEL,,,请适度娱乐理性消费,,
CLAN_INVITE_TOKEN_ENABLED,,TRUE,,,
CLAN_INVITE_TOKEN_EXPIRE_TIME_SECONDS,600,,,,
FRIEND_INVITE_TOKEN_ENABLED,,TRUE,,,
FRIEND_INVITE_TOKEN_EXPIRE_TIME_SECONDS,600,,,,
CANCEL_SPELL_DRAG_AFTER_IDLE_SECONDS,20,,,,
