"Name","NpcOnly","PvpOnly","ShadowR","ShadowG","ShadowB","ShadowA","ShadowOffsetX","ShadowOffsetY","Sound","ExtraTimeMusic","MatchLength","WinCondition","OvertimeSeconds","EndScreenDelay","FileName","TileDataFileName","AmbientSound","OverlaySC","OverlayExportName","CrowdEffects","CloudFileName","CloudExportName","CloudMinScale","CloudMaxScale","CloudMinSpeed","CloudMaxSpeed","CloudMinAlpha","CloudMaxAlpha","CloudCount","WalkEffect","WalkEffectOvertime","LoopingEffectRegularTime","LoopingEffectOvertime","LoopingEffect","LoopingEffectOvertimeSide","ReflectionRed","ReflectionGreen","ReflectionBlue"
"PvP_jungle",,"true",122,132,224,60,100,200,"Jungle_arena_start","Sudden_death",180,"Normal",60,4000,"locations/jungle_arena.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,,,"jungle_arena_walk_splash",,"jungle_arena_rain",,,,,
"TeamVsTeam_royal",,"true",,,100,50,100,100,"match start","Sudden_death",180,"Normal",60,4000,"locations/royal_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,5,,,,,,,,,
"PvP_champion",,"true",122,132,224,60,100,200,"Hog_arena_start","Sudden_death",180,"Normal",60,4000,"locations/champion_arena.csv","tilemaps/tilemap.csv","ScrollAmb01",,,"true","sc/effects.sc","asteroid_shadow_anim_01",70,110,25,80,15,15,5,,,,,,"legendary_arena_loop",24,20,20
"PvE_training","true",,,,100,60,100,100,"Tut_jing_start","60sec_training",180,"Normal",60,4000,"locations/training_arena_pve.csv","tilemaps/tilemap_pve.csv","ScrollAmb01",,,,"sc/effects.sc","cloud_1",54,114,25,154,7,10,4,,,,,,,,,
"TvE_training","true",,,,100,60,100,100,"Tut_jing_start","60sec_training",180,"Normal",60,4000,"locations/training_arena_tve.csv","tilemaps/tilemap_tve.csv","ScrollAmb01",,,,"sc/effects.sc","cloud_1",54,114,25,154,7,10,4,,,,,,,,,
"PvE_training1","true",,,,100,60,100,100,"Tut_jing_start","60sec_training",180,"Normal",60,4000,"locations/training_arena_pve1.csv","tilemaps/tilemap_pve1.csv","ScrollAmb01",,,,"sc/effects.sc","cloud_1",54,114,25,154,7,10,4,,,,,,,,,
"TeamVsTeam_legendary",,"true",,,100,50,100,100,"Legendary_arena_start","Sudden_death",180,"Normal",60,4000,"locations/legendary_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",114,177,397,112,5,10,,,,,,,,,,
"TeamVsTeam_goblin",,"true",,30,,55,100,200,"Goblin_arena_start","Sudden_death",180,"Normal",60,4000,"locations/goblin_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,5,,,,,,,,,
"TeamVsTeam_barbarian",,"true",,,100,50,100,100,"Barbarian_arena_start","Sudden_death",180,"Normal",60,4000,"locations/barbarian_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,5,,,,,,,,,
"TeamVsTeam_bone",,"true",50,10,,55,100,144,"Bone_pit_arena_start","Sudden_death",180,"Normal",60,4000,"locations/bone_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,5,,,,,,,,,
"TeamVsTeam_dark",,"true",50,10,,55,100,100,"Dark_arena_start","Sudden_death",180,"Normal",60,4000,"locations/dark_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true",,,,,,,,,,,,,,,,,,
"TeamVsTeam_spell",,"true",,,100,50,100,100,"Spell_arena_start","Sudden_death",180,"Normal",60,4000,"locations/spell_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,5,,,,,,,,,
"TeamVsTeam_builder",,"true",,,100,50,100,100,"Builder_arena_start","Sudden_death",180,"Normal",60,4000,"locations/builder_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,4,9,5,,,,,,,,,
"TeamVsTeam_ice",,"true",122,132,224,60,100,200,"Ice_arena_start","Sudden_death",180,"Normal",60,4000,"locations/ice_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,,,,,,"ice_arena_snow",,,,
"TeamVsTeam_jungle",,"true",122,132,224,60,100,200,"Jungle_arena_start","Sudden_death",180,"Normal",60,4000,"locations/jungle_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,,,"jungle_arena_walk_splash",,"jungle_arena_rain",,,,,
"TeamVsTeam_champion",,"true",122,132,224,60,100,200,"Hog_arena_start","Sudden_death",180,"Normal",60,4000,"locations/champion_arena_2v2.csv","tilemaps/tilemap_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","asteroid_shadow_anim_01",70,110,25,80,15,15,5,,,,,,"legendary_arena_loop",24,20,20
