"Name","IconFile","UnlockArena","Rarity","ManaCost","ManaCostFromSummonerMana","NotInUse","Mirror","CustomDeployTime","SummonCharacter","SummonNumber","SummonCharacterLevelIndex","SummonCharacterSecond","SummonCharacterSecondCount","SummonRadius","Radius","Height","Projectile","SpellAsDeploy","CanPlaceOnBuildings","InstantDamage","DurationSeconds","InstantHeal","HealPerSecond","Effect","Pushback","MultipleProjectiles","CustomFirstProjectile","BuffTime","BuffTimeIncreasePerLevel","BuffNumber","BuffType","BuffOnDamage","OnlyOwnTroops","OnlyEnemies","CanDeployOnEnemySide","CastSound","AreaEffectObject","TID","TID_INFO","IndicatorEffect","HideRadiusIndicator","DestIndicatorEffect","ReleaseDate","ElixirProductionStopTime","DarkMirror","StatsUnderInfo"
"SkeletonArmy","skeleton_horde","TrainingCamp","Epic",3,,,,,"Skeleton",14,5,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_SKELETON_HORDE","TID_SPELL_INFO_SKELETON_HORDE",,,,,,,"true"
"Bomber","bomber","TrainingCamp","Common",3,,,,,"Bomber",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_BOMBER","TID_SPELL_INFO_BOMBER",,,,,,,
"Musketeer","musketeer","TrainingCamp","Rare",4,,,,,"Musketeer",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_MUSKETEER","TID_SPELL_INFO_MUSKETEER",,,,,,,
"BabyDragon","baby_dragon","TrainingCamp","Epic",4,,,,,"BabyDragon",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_BABY_DRAGON","TID_SPELL_INFO_BABY_DRAGON",,,,,,,
"Prince","prince","TrainingCamp","Epic",5,,,,,"Prince",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_PRINCE","TID_SPELL_INFO_PRINCE",,,,,,,
"Wizard","wizard","Arena5","Rare",5,,,,,"Wizard",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_WIZARD","TID_SPELL_INFO_WIZARD",,,,,,,
"MiniPekka","mini_pekka","TrainingCamp","Rare",4,,,,,"MiniPekka",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,"true",,,,,"TID_SPELL_MINIPEKKA","TID_SPELL_INFO_MINIPEKKA",,,,,,,
"SpearGoblins","goblin_archer","Arena1","Common",2,,,,,"SpearGoblin",3,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_SPEAR_GOBLINS","TID_SPELL_INFO_SPEAR_GOBLINS",,,,,,,
"GiantSkeleton","giant_skeleton","Arena2","Epic",6,,,,,"GiantSkeleton",1,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_GIANT_SKELETON","TID_SPELL_INFO_GIANT_SKELETON",,,,,,,
"HogRider","hog_rider","Arena4","Rare",4,,,,,"HogRider",1,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_HOG_RIDER","TID_SPELL_INFO_HOG_RIDER",,,,,,,
"MinionHorde","minion_horde","Arena4","Common",5,,,,,"Minion",6,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_MINION_HORDE","TID_SPELL_INFO_MINION_HORDE",,,,,,,
"IceWizard","ice_wizard","Arena5","Legendary",3,,,,,"IceWizard",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_ICE_WIZARD","TID_SPELL_INFO_ICE_WIZARD",,,,,,,
"RoyalGiant","royal_giant","Arena7","Common",6,,,,,"RoyalGiant",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_ROYAL_GIANT","TID_SPELL_INFO_ROYAL_GIANT",,,,,,,
"SkeletonWarriors","skeleton_warriors","Arena7","Epic",3,,,,,"SkeletonWarrior",3,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_SKELETON_WARRIORS","TID_SPELL_INFO_SKELETON_WARRIORS",,,,,,,
"Princess","princess","Arena7","Legendary",3,,,,,"Princess",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_PRINCESS","TID_SPELL_INFO_PRINCESS",,,,,,,
"DarkPrince","dark_prince","Arena7","Epic",4,,,,,"DarkPrince",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_DARK_PRINCE","TID_SPELL_INFO_DARK_PRINCE",,,,,,,
"ThreeMusketeers","three_musketeers","Arena7","Rare",9,,,,,"Musketeer",3,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_THREE_MUSKETEERS","TID_SPELL_INFO_THREE_MUSKETEERS",,,,,,,
"LavaHound","lava_hound","Arena4","Legendary",7,,,,,"LavaHound",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_LAVA_HOUND","TID_SPELL_INFO_LAVA_HOUND",,,,,,,
"IceSpirits","snow_spirits","Arena8","Common",1,,,,,"IceSpirits",1,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_ICE_SPIRITS","TID_SPELL_INFO_ICE_SPIRITS",,,,,,,
"FireSpirits","fire_spirits","Arena5","Common",2,,,,,"FireSpirits",3,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_FIRE_SPIRITS","TID_SPELL_INFO_FIRE_SPIRITS",,,,,,,
"Miner","miner","Arena6","Legendary",3,,,,,"Miner",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,"true",,,"TID_SPELL_MINER","TID_SPELL_INFO_MINER",,,,,,,
"ZapMachine","zapMachine","Arena6","Legendary",6,,,,,"ZapMachine",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,"true",,,,,"TID_SPELL_ZAPMACHINE","TID_SPELL_INFO_ZAPMACHINE",,,,,,,
"Bowler","bowler","Arena8","Epic",5,,,,,"Bowler",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_BOWLER","TID_SPELL_INFO_BOWLER",,,,,,,
"RageBarbarian","rage_barbarian","Arena8","Legendary",4,,,,,"RageBarbarian",1,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_RAGE_BARBARIAN","TID_SPELL_INFO_RAGE_BARBARIAN",,,,,,,
"BattleRam","battle_ram","Arena6","Rare",4,,,,,"BattleRam",1,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_BATTLE_RAM","TID_SPELL_INFO_BATTLE_RAM",,,,,,,
"InfernoDragon","inferno_dragon","Arena4","Legendary",4,,,,,"InfernoDragon",1,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_INFERNO_DRAGON","TID_SPELL_INFO_INFERNO_DRAGON",,,,,,,
"IceGolemite","ice_golem","Arena8","Rare",2,,,,,"IceGolemite",1,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_ICEGOLEMITE","TID_SPELL_INFO_ICEGOLEMITE",,,,,,,
"MegaMinion","mega_minion","Arena7","Rare",3,,,,,"MegaMinion",1,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_MEGAMINION","TID_SPELL_INFO_MEGAMINION",,,,,,,
"BlowdartGoblin","blowdart_goblin","Arena9","Rare",3,,,,,"BlowdartGoblin",1,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_BLOWDART_GOBLIN","TID_SPELL_INFO_BLOWDART_GOBLIN",,,,,,,
"GoblinGang","goblin_gang","Arena9","Common",3,,,,,"Goblin",3,,"SpearGoblin",2,1000,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_GOBLIN_GANG","TID_SPELL_INFO_GOBLIN_GANG",,,,,,,
"ElectroWizard","electro_wizard","Arena7","Legendary",4,,,,,"ElectroWizard",1,,,,,2500,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_ELECTRO_WIZARD","TID_SPELL_INFO_ELECTRO_WIZARD",,,,,,,
"AngryBarbarians","angry_barbarian","Arena7","Common",6,,,,,"AngryBarbarian",2,,,,700,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_ANGRY_BARBARIANS","TID_SPELL_INFO_ANGRY_BARBARIANS",,,,,,,
"NOTINUSE1","not_in_use","Arena9","Legendary",3,,"TRUE",,,"Assassin",1,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_ASSASSIN","TID_SPELL_INFO_ASSASSIN",,,,,,,
"AxeMan","executioner","Arena9","Epic",5,,,,,"AxeMan",1,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_AXEMAN","TID_SPELL_INFO_AXEMAN",,,,,,,
"Assassin","bandit","Arena9","Legendary",3,,,,,"Assassin",1,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_ASSASSIN","TID_SPELL_INFO_ASSASSIN",,,,,,,
"NOTINUSE2","not_in_use","Arena9","Legendary",3,,"TRUE",,,"Assassin",1,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_ASSASSIN","TID_SPELL_INFO_ASSASSIN",,,,,,,
"DarkWitch","dark_witch","Arena8","Legendary",4,,,,,"DarkWitch",1,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_DARK_WITCH","TID_SPELL_INFO_DARK_WITCH",,,,,,,
"Bats","bats","Arena8","Common",2,,,,,"Bat",4,,,,750,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_BATS","TID_SPELL_INFO_BATS",,,,"Soon",,,
"NOTINUSE6","not_in_use","Arena_L","Legendary",5,,"TRUE",,,"Assassin",7,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_KNIGHT",,,,,,,
"NOTINUSE3","not_in_use","Arena9","Legendary",3,,"TRUE",,,"Assassin",1,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_ASSASSIN","TID_SPELL_INFO_ASSASSIN",,,,,,,
"NOTINUSE9","not_in_use","Arena9","Legendary",3,,"TRUE",,,"Assassin",1,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_ASSASSIN","TID_SPELL_INFO_ASSASSIN",,,,,,,
"NOTINUSE4","not_in_use","Arena9","Legendary",3,,"TRUE",,,"Assassin",1,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_ASSASSIN","TID_SPELL_INFO_ASSASSIN",,,,,,,
"MovingCannon","cannon_cart","Arena_L","Epic",5,,,,,"MovingCannon",1,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_MOVING_CANNON","TID_SPELL_INFO_MOVING_CANNON",,,,"Soon",,,
"MegaKnight","mega_knight","Arena_L","Legendary",7,,,,,"MegaKnight",1,,,,,,,"MegaKnightAppear",,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_MEGAKNIGHT","TID_SPELL_INFO_MEGAKNIGHT",,,,"Soon",,,
"SkeletonBalloon","skeleton_balloon","Arena6","Common",3,,,,,"SkeletonBalloon",1,,,,,,3000,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_SKELETON_BALLOON","TID_SPELL_INFO_SKELETON_BALLOON",,,,"Soon",,,
"DartBarrell","flying_machine","Arena9","Rare",4,,,,,"DartBarrell",1,,,,,,3000,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_DART_BARRELL","TID_SPELL_INFO_DART_BARRELL",,,,"Soon",,,
