"Name","Rarity","SightRange","DeployTime","ChargeRange","Speed","Hitpoints","HitSpeed","LoadTime","Damage","DamageSpecial","CrownTowerDamagePercent","LoadFirstHit","StopTimeAfterAttack","StopTimeAfterSpecialAttack","Projectile","CustomFirstProjectile","MultipleProjectiles","MultipleTargets","AllTargetsHit","Range","MinimumRange","SpecialMinRange","SpecialRange","SpecialLoadTime","SpecialReadyEffect","AttacksGround","AttacksAir","DeathDamageRadius","DeathDamage","DeathPushBack","AttackPushBack","LifeTime","ProjectileSpecial","ProjectileEffect","ProjectileEffectSpecial","AreaDamageRadius","TargetOnlyBuildings","SpecialAttackInterval","BuffOnDamage","BuffOnDamageTime","StartingBuff","StartingBuffTime","FileName","BlueExportName","BlueTopExportName","RedExportName","RedTopExportName","UseAnimator","AttachedCharacter","AttachedCharacterHeight","DamageEffect","DamageEffectSpecial","DeathEffect","MoveEffect","LoopMoveEffect","SpawnEffect","CrowdEffects","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","ShadowCustom","ShadowCustomLow","Pushback","IgnorePushback","Scale","CollisionRadius","Mass","TileSizeOverride","AreaBuff","AreaBuffTime","AreaBuffRadius","HealthBar","HealthBarOffsetY","ShowHealthNumber","FlyingHeight","FlyDirectPaths","FlyFromGround","DamageExportName","GrowTime","GrowSize","MorphCharacter","MorphEffect","HealOnMorph","AreaEffectOnMorph","MorphTime","MorphKeepTarget","AttackStartEffect","AttackStartEffectSpecial","DashImmuneToDamageTime","DashStartEffect","DashEffect","DashCooldown","JumpHeight","DashPushBack","DashRadius","DashDamage","DashFilter","DashConstantTime","DashLandingTime","LandingEffect","DashMinRange","DashMaxRange","JumpSpeed","ContinuousEffect","SpawnStartTime","SpawnInterval","SpawnNumber","SpawnLimit","SpawnPauseTime","SpawnCharacterLevelIndex","SpawnCharacter","SpawnProjectile","SpawnCharacterEffect","SpawnDeployBaseAnim","SpawnRadius","DeathSpawnCount","DeathSpawnCharacter","DeathSpawnProjectile","DeathSpawnRadius","DeathSpawnMinRadius","SpawnAngleShift","DeathSpawnDeployTime","DeathSpawnPushback","DeathAreaEffect","DeathInheritIgnoreList","Kamikaze","KamikazeTime","KamikazeEffect","SpawnPathfindSpeed","SpawnPathfindEffect","SpawnPathfindMorph","SpawnPushback","SpawnPushbackRadius","SpawnAreaObject","SpawnAreaObjectLevelIndex","ChargeEffect","TakeDamageEffect","ProjectileStartRadius","ProjectileStartZ","StopMovementAfterMS","WaitMS","DontStopMoveAnim","IsSummonerTower","NoDeploySizeW","NoDeploySizeH","TID","VariableDamageLifeTime","VariableDamageTransitionTime","VariableDamage2","VariableDamageTime1","VariableDamage3","VariableDamageTime2","TargettedDamageEffect1","TargettedDamageEffect2","TargettedDamageEffect3","DamageLevelTransitionEffect12","DamageLevelTransitionEffect23","FlameEffect1","FlameEffect2","FlameEffect3","TargetEffectY","SelfAsAoeCenter","HidesWhenNotAttacking","HideTimeMs","HideBeforeFirstHit","SpecialAttackWhenHidden","TargetedHitEffect","TargetedHitEffectSpecial","UpTimeMs","HideEffect","AppearEffect","AppearPushbackRadius","AppearPushback","AppearAreaObject","ManaCollectAmount","ManaGenerateTimeMs","ManaGenerateLimit","HasRotationOnTimeline","TurretMovement","ProjectileYOffset","ChargeSpeedMultiplier","DeployDelay","DeployBaseAnimExportName","JumpEnabled","SightClip","AreaEffectOnDash","SightClipSide","WalkingSpeedTweakPercentage","ShieldHitpoints","ShieldDiePushback","ShieldLostEffect","BlueShieldExportName","RedShieldExportName","LoadAttackEffect1","LoadAttackEffect2","LoadAttackEffect3","LoadAttackEffectReady","RotateAngleSpeed","DeployTimerDelay","RetargetAfterAttack","AttackShakeTime","VisualHitSpeed","Ability","Burst","BurstDelay","BurstKeepTarget","ActivationTime","AttackDashTime","LoopingFilter","BuildingTarget","SpawnConstPriority"
"Barbarian","Common",5500,1000,,60,300,1500,1000,75,,,,,,,,,,,700,,,,,,"true",,,,,,,,,,,,,,,,,"sc/chr_barbarian.sc","barbarian1",,"barbarian1_enemy",,"true",,,"barbarian_hit",,"barbarian_die","barbarian_steps",,"barbarian_deploy",,85,85,,-10,35,,,,,95,500,4,,,,,"Medium",,,,,,"filter_damage",,,,,,,,,"barbarian_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,450,,,,,,,"TID_CHARACTER_BARBARIAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,"filter_deploy_unit_default",,,,,-20,,,,,,,,,,,,,,,,,,,,,,,
"Golem","Epic",7000,3000,,45,3200,2500,1500,195,,,,,,,,,,,750,,,,,,"true","true",2000,195,1800,,,,,,,"true",,,,,,"sc/chr_golem.sc","golem1",,"golem1_red",,"true",,,"golem_hit",,"golem_die","golem_steps",,"golem_deploy","true",85,85,,-15,25,,,,"true",130,750,20,,,,,"High",,,,,,"filter_damage",,,,,,,,,"golem_attack_start",,,,,,,,,,,,,,,,,"golem_cont_effect",,,,,,,,,,,,2,"Golemite",,1500,,,,"true",,,,,,,,,,,,,,,450,450,1000,200,"true",,,,"TID_SPELL_GOLEM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,2000,,2000,15,,,,,,,,,,,,,,,,,,,,,,,
"Golemite","Epic",7000,1000,,45,650,2500,1500,40,,,,,,,,,,,250,,,,,,"true","true",2000,40,1800,,,,,,,"true",,,,,,"sc/chr_golemite.sc","golemite",,"golemite_red",,"true",,,"small_golem_hit",,"small_golem_die","golem_steps",,"small_golem_deploy",,50,50,-5,5,35,,,,,120,500,6,,,,,"Medium",,,,,,"filter_damage",,,,,,,,,"small_golem_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,350,,,,,,,"TID_CHARACTER_SMALL_GOLEM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,2000,,2000,,,,,,,,,,,,,,,,,,,,,,,,
"Valkyrie","Rare",5500,1000,,60,880,1500,1300,120,,,,,,,,,,,1000,,,,,,"true",,,,,,,,,,2000,,,,,,,"sc/chr_valkyrie.sc","valkyrie1",,"valkyrie1_enemy",,"true",,,"valkyrie_hit",,"valkyrie_die","valkyrie_steps",,"valkyrie_deploy",,85,80,,,25,,,,,140,500,5,,,,,"Medium",,,,,,"filter_damage",,,,,,,,,"valkyrie_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,450,,,,,,,"TID_CHARACTER_VALKYRIE",,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bomber","Common",5500,1000,,60,147,1900,1700,,,,,,,"BombSkeletonProjectile",,,,,4500,,,,,,"true",,,,,,,,"bomber_attack",,,,,,,,,"sc/chr_bomber.sc","chr_bomber",,"chr_bomber_RED",,"true",,,,,"bomber_die","bomber_steps",,"bomber_deploy",,50,50,-5,5,35,,,,,100,500,4,,,,,"Small",,,,,,"filter_damage",,,,,,,,,"bomber_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,350,,,,,,,"TID_CHARACTER_BOMBER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,,,,-10,,,,,,,,,,,,,,,,,,,,,,,
"Musketeer","Rare",6000,1000,,60,340,1100,600,,,,,,,"MusketeerProjectile",,,,,6000,,,,,,"true","true",,,,,,,"musketeer_attack",,,,,,,,,"sc/chr_musketeer.sc","chr_musketeer_blue",,"chr_musketeer",,"true",,,"musketeer_hit",,"musketeer_die","musketeer_steps",,"musketeer_deploy",,80,80,,-10,35,,,,,100,500,5,,,,,"Medium",,,,,,"filter_damage",,,,,,,,,"musketeer_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,450,450,,,,,,,"TID_CHARACTER_MUSKETEER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,"filter_deploy_unit_default",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BabyDragon","Epic",5500,1000,,90,800,1600,1300,,,,,,,"BabyDragonProjectile",,,,,3500,,,,,,"true","true",,,,,,,"dragon_attack_start",,,,,,,,,"sc/chr_baby_dragon.sc","baby_dragon",,"baby_dragon_enemy",,"true",,,,,"baby_dragon_die","baby_dragon_steps",,"baby_dragon_deploy",,85,-60,,20,,,,,"true",100,500,5,,,,,"High",,,3500,,,"filter_damage_wobble",,,,,,,,,"baby_dragon_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,1900,,,,,,,"TID_SPELL_BABY_DRAGON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MiniPekka","Rare",5500,1000,,90,600,1800,1300,325,,,,,,,,,,,1050,,,,,,"true",,,,,,,,,,,,,,,,,"sc/chr_mini_pekka.sc","minipekka",,"minipekka_red",,"true",,,"mini_pekka_hit",,"mini_pekka_die","mini_pekka_steps",,"mini_pekka_deploy",,80,80,,,35,,,,,100,450,4,,,,,"Medium",,,,,,"filter_damage",,,,,,,,,"mini_pekka_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,450,,,,,,,"TID_SPELL_MINIPEKKA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wizard","Rare",5500,1000,,60,340,1400,1000,,,,,,,"chr_wizardProjectile",,,,,5500,,,,,,"true","true",,,,,,,,,,,,,,,,"sc/chr_wizard.sc","wizard1",,"wizard1_red",,"true",,,"chr_wizard_hit",,"chr_wizard_die","chr_wizard_steps",,"chr_wizard_deploy",,80,80,,,35,,,,,87,500,5,,,,,"Medium",-18,,,,,"filter_damage",,,,,,,,,"chr_wizard_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,1500,,,,,,,"TID_SPELL_WIZARD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,,,,-10,,,,,,,,,,,,,,,,,,,,,,,
"Prince","Epic",5500,1000,250,60,1100,1500,1000,245,490,,,,,,,,,,1850,,,,,,"true",,,,,,,,,,,,,,,,,"sc/chr_prince.sc","Prince",,"Prince_red",,"true",,,"prince_hit","prince_charge_hit","prince_die","prince_steps",,"prince_deploy",,80,80,,,35,,,,"true",92,650,6,,,,,"Medium",,,,,,"filter_damage_wobble",,,,,,,,,"prince_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prince_charge",,,,,,,,,,"TID_SPELL_PRINCE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,"filter_deploy_unit_default",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SpearGoblin","Common",5500,1000,,120,52,1300,1100,,,,,,,"SpearGoblinProjectile",,,,,5000,,,,,,"true","true",,,,,,,"spear_goblin_attack",,,,,,,,,"sc/chr_goblin_archer.sc","goblinArcher_blue",,"goblinArcher",,"true",,,,,"spear_goblin_die","spear_goblin_steps",,"spear_goblin_deploy",,75,75,,-15,25,,,,,133,500,1,,,,,"Small",-10,,,,,"filter_damage",,,,,,,,,"spear_goblin_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,"TID_CHARACTER_SPEAR_GOBLIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,"filter_deploy_unit_default",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GiantSkeleton","Epic",5000,1000,,60,2000,1500,1000,130,,,,,,,,,,,800,,,,,,"true",,,,,,,,,,,,,,,,,"sc/chr_giant_skeleton.sc","giant_skeleton",,"giant_skeleton_enemy",,"true",,,"giant_skeleton_hit",,"giant_skeleton_die","giant_skeleton_steps",,"giant_skeleton_deploy","true",50,50,-5,5,35,,,,"true",105,1000,15,,,,,"High",,,,,,"filter_damage_wobble",,,,,,,,,"giant_skeleton_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"GiantSkeletonBomb",,,,,,,,,,,,,,,,,,,,,450,450,,,,,,,"TID_SPELL_GIANT_SKELETON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,,,,-12,,,,,,,,,,,,,,,,,,,,,,,
"HogRider","Rare",9500,1000,,120,800,1500,1000,150,,,,,,,,,,,800,,,,,,"true",,,,,,,,,,,"true",,,,,,"sc/chr_hog_rider.sc","hog_rider",,"hog_rider_red",,"true",,,"hog_rider_hit",,"hog_rider_die","hog_rider_steps",,"hog_rider_deploy",,85,85,,-10,35,,,,,95,600,4,,,,,"Medium",-15,,,,,"filter_damage",,,,,,,,,"hog_rider_attack_start",,,,,,4000,,,,,,,"hog_rider_landing",,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,450,,,,,,,"TID_CHARACTER_HOG_RIDER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,"filter_deploy_unit_default","true",4000,,4000,,,,,,,,,,,,,,,,,,,,,,,,
"TowerPrincess","Common",5500,1000,,60,125,1200,1000,,,,,,,"TowerPrincessProjectile",,,,,5000,,,,,,"true","true",,,,,,,"ArcherAttack",,,,,,,,,"sc/chr_princess.sc","princess_tower",,"princess_tower_red",,"true",,,,,"ArcherDie","ArcherSteps",,"ArcherDeploy",,75,75,,-15,25,,,,,100,500,3,,,,,"Small",-10,,,,,"filter_damage",,,,,,,,,"ArcherAttackStart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,450,,,,,,,"TID_CHARACTER_ARCHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,"filter_deploy_unit_default",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IceWizard","Legendary",5500,1000,,60,665,1500,1000,,,,,,,"ice_wizardProjectile",,,,,5500,,,,,,"true","true",,,,,,,,,,,,,,,,"sc/chr_ice_wizard.sc","ice_wizard",,"ice_wizard_red",,"true",,,,,"ice_wizard_die","ice_wizard_steps",,"ice_wizard_deploy",,80,80,,,35,,,,,100,500,5,,,,,"Medium",-8,,,,,"filter_damage",,,,,,,,,"ice_wizard_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,1500,,,,,,,"TID_CHARACTER_ICE_WIZARD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_legendary",,,,,-26,,,,,,,,,,,,,,,,,,,,,,,
"RoyalGiant","Common",7500,2000,,45,1200,1700,1000,,,,,,,"RoyalGiantProjectile",,,,,6500,,,,,,"true",,,,,,,,"royal_giant_projectile_fx",,,"true",,,,,,"sc/chr_royal_giant.sc","royalGiant",,"royalGiant_red",,"true",,,,,"royal_giant_die","royal_giant_steps",,"royal_giant_deploy","true",85,80,,,25,,,,"true",100,750,18,,,,,"High",,,,,,"filter_damage_wobble",,,,,,,,,"royal_giant_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,2900,640,100,,,,,"TID_SPELL_ROYAL_GIANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,2000,,2000,,,,,,,,,,,,,,,,,,,,,,,,
"Princess","Legendary",9500,1000,,60,216,3000,2500,,,,,,,"PrincessProjectileDeco","PrincessProjectile",5,,,9000,,,,,,"true","true",,,,,,,"princess_attack",,2500,,,,,,,"sc/chr_princess.sc","princess",,"princess_red",,"true",,,,,"princess_die","princess_steps",,"princess_deploy",,75,75,,-15,25,,,,,100,500,3,,,,,"Small",-10,,,,,"filter_damage",,,,,,,,,"princess_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,450,,,,,,,"TID_CHARACTER_PRINCESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,"filter_deploy_unit_legendary",,,,,,,,,,,,,,,,,,,,,,,,,,,,
