"Name","TID","RequestTID","InProgressTID","CardLevelAdjustment","PlayerCount","DeckSelection","OvertimeSeconds","PredefinedDecks","ElixirProductionMultiplier","ElixirProductionOvertimeMultiplier","UseStartingElixir","StartingElixir","Heroes","ForcedDeckCards","Players","EventDeckSetLimit","ForcedDeckCardsUsingCardTheme","PrincessSkin","KingSkin","GivesClanScore"
"TeamVsTeam","TID_TEAM_CHALLENGE",,,"Friendly",,"Collection",180,,85,70,,,,,"TvT",,,,,
"RetroRoyale","TID_RETRO_ROYALE_CHALLENGE",,,"Friendly",,"EventDeck",180,,,,,,,,"PvP","Event_Retro",,,,
"CardRelease",,,,"Friendly",,"EventDeck",180,,,,,,,,"PvP",,"TRUE",,,
"CardReleaseDraft","TID_DRAFT_CHALLENGE","TID_REQUEST_DRAFT_1V1","TID_DRAFT_1V1_IN_PROGRESS","Friendly",,"Draft",180,,,,,,,,"PvP",,"TRUE",,,
"PvE","TID_PUZZLE_MODE",,,"Friendly",,"Collection",60,,300,,"true",10,,,"PvE",,,,,
"TvE","TID_TEAM_VS_ENEMY",,,"Friendly",,"Collection",60,,85,70,"true",0,,,"TvE",,,,,
"PvE_Boss","TID_PUZZLE_MODE",,,"Friendly",,"Collection",60,,,,"true",10,,,"PvE",,,,,
"PvE_Tutorial","TID_PUZZLE_MODE",,,"Ladder",,"Collection",60,,,,,,,,"PvE",,,,,
"TeamVsTeamDraft","TID_TEAM_CHALLENGE_DRAFT","TID_REQUEST_DRAFT_2V2","TID_DRAFT_2V2_IN_PROGRESS","Friendly",,"Draft",180,,85,70,,,,,"TvT",,,,,
"TeamVsTeamLadder","TID_TEAM_CHALLENGE_LADDER",,,"Ladder",,"Collection",60,,85,70,,,,,"TvT",,,,,
"Overtime_Tournament","TID_GAMEMODE_OVERTIME",,,"Tournament",,"Collection",180,,,,"true",0,,,"PvP",,,,,
"GoldRush","TID_GOLDRUSH_CHALLENGE",,,"Tournament",,"Collection",180,,,,,,,,"PvP",,,"PrincessGold",,
"TeamVsTeamChallenge","TID_TEAM_CHALLENGE_SURVIVAL",,,"Tournament",,"Collection",180,,85,70,,,,,"TvT",,,,,
"TripleElixir_Tournament","TID_TRIPLE_ELIXIR",,,"Tournament",,"Collection",180,,300,150,"true",0,,,"PvP",,,,,
"RampUpElixir_Tournament","TID_RAMP_UP_ELIXIR",,,"Tournament",,"Collection",180,,,,,,,,"PvP",,,,,
"TeamVsTeamCrowns","TID_TEAM_CHALLENGE",,,"Friendly",,"Collection",180,,85,70,,,,,"TvT",,,,,"TRUE"
"TeamVsTeamDraftChallenge","TID_TEAM_CHALLENGE_DRAFT","TID_REQUEST_DRAFT_2V2","TID_DRAFT_2V2_IN_PROGRESS","Friendly",,"Draft",180,,85,70,,,,,"TvT",,,,,
"Overtime_Friendly","TID_GAMEMODE_OVERTIME","TID_REQUEST_OVERTIME_1V1","TID_OVERTIME_1V1_IN_PROGRESS","Friendly",,"Collection",180,,,,"true",0,,,"PvP",,,,,
"TripleElixir_Friendly","TID_TRIPLE_ELIXIR","TID_REQUEST_TRIPLE_ELIXIR_1V1","TID_TRIPLE_ELIXIR_1V1_IN_PROGRESS","Friendly",,"Collection",180,,300,150,"true",0,,,"PvP",,,,,
"RampUpElixir_Friendly","TID_RAMP_UP_ELIXIR","TID_REQUEST_RAMPUP_1V1","TID_RAMPUP_1V1_IN_PROGRESS","Friendly",,"Collection",180,,,,,,,,"PvP",,,,,
"TeamVsTeam_DoubleElixir_Friendly","TID_GAMEMODE_DOUBLE_ELIXIR_2v2","TID_REQUEST_DOUBLE_ELIXIR_2V2","TID_DOUBLE_ELIXIR_2V2_IN_PROGRESS","Friendly",,"Collection",180,,170,85,"true",0,,,"TvT",,,,,
"TeamVsTeam_DoubleElixir_Tournament","TID_GAMEMODE_DOUBLE_ELIXIR_2v2",,,"Tournament",,"Collection",180,,170,85,"true",0,,,"TvT",,,,,
"TeamVsTeam_Overtime_Friendly","TID_GAMEMODE_OVERTIME_2v2","TID_REQUEST_OVERTIME_2V2","TID_OVERTIME_2V2_IN_PROGRESS","Friendly",,"Collection",180,,85,70,,,,,"TvT",,,,,
"TeamVsTeam_Overtime_Tournament","TID_GAMEMODE_OVERTIME_2v2",,,"Tournament",,"Collection",180,,85,70,,,,,"TvT",,,,,
"TeamVsTeam_RampUpElixir_Friendly","TID_GAMEMODE_RAMPUP_ELIXIR_2v2","TID_REQUEST_RAMPUP_2V2","TID_RAMPUP_2V2_IN_PROGRESS","Friendly",,"Collection",180,,85,85,,,,,"TvT",,,,,
"TeamVsTeam_RampUpElixir_Tournament","TID_GAMEMODE_RAMPUP_ELIXIR_2v2",,,"Tournament",,"Collection",180,,85,85,,,,,"TvT",,,,,
"TeamVsTeam_DraftModeInsane_Friendly","TID_GAMEMODE_DRAFT_INSANE_2v2","TID_REQUEST_DRAFTMODE_INSANE_2V2","TID_DRAFTMODE_INSANE_2V2_IN_PROGRESS","Friendly",,"Draft",180,,170,140,"true",0,,,"TvT",,,,,
"Invalid",,,,"Friendly",,"Collection",180,,,,,,,,"PvP",,,,,
