"Name","TID","NotBeenInClan","NotBeenInTournament","NotCreatedTournament","MinNpcWins","MaxNpcWins","MinArena","MaxArena","MinTrophies","MaxTrophies","MinExpLevel","MaxExpLevel","iOSTID","AndroidTID"
"three musketeers","TID_HINT_THREE_MUSKETEERS",,,,,,7,,,,,,,
"dark prince","TID_HINT_DARK_PRINCE",,,,,,7,,,,,,,
"ice wizard","TID_HINT_ICE_WIZARD",,,,,,5,,,,,,,
"princess","TID_HINT_PRINCESS",,,,,,7,,,,,,,
"royal giant","TID_HINT_ROYAL_GIANT",,,,,,7,,,,,,,
"poison","TID_HINT_POISON",,,,,,5,,,,,,,
"legendary max level","TID_HINT_LEGENDARY_MAX_LEVEL",,,,,,,,,,8,,,
"gold per win","TID_HINT_GOLD_PER_WIN",,,,,,1,,,,,,,
"lava hound","TID_HINT_LAVA_HOUND",,,,,,4,,,,,,,
"miner","TID_HINT_MINER",,,,,,6,,,,,,,
"sparky","TID_HINT_SPARKY",,,,,,6,,,,,,,
"legendary card","TID_HINT_LEGENDARY_CARDS",,,,,,4,,,,,,,
"bowler","TID_HINT_BOWLER",,,,,,8,,,,,,,
"rage log","TID_HINT_RAGE_LOG",,,,,,6,,,,,,,
"tourney1","TID_HINT_TOURNEY1",,,"TRUE",,,,,,,8,,,
"tourney2","TID_HINT_TOURNEY2",,,,,,,,,,5,7,,
"tourney3","TID_HINT_TOURNEY3",,,,,,,,,,8,,,
"tourney4","TID_HINT_TOURNEY4",,,,,,,,,,8,,,
"tourney5","TID_HINT_TOURNEY5",,,,,,,,,,8,,,
"tourney6","TID_HINT_TOURNEY6",,,,,,,,,,8,,,
"tourney7","TID_HINT_TOURNEY7",,,,,,,,,,8,,,
"tourney8","TID_HINT_TOURNEY8",,,,,,,,,,8,,,
"tourney9","TID_HINT_TOURNEY9",,,,,,,,,,8,,,
"arena pack","TID_HINT_ARENA_PACK",,,,,,,,,,3,,,
"friends list1","TID_HINT_FRIENDS_LIST1",,,,,,,,,,3,,,
"friends list2","TID_HINT_FRIENDS_LIST2",,,,,,,,,,3,,,
"mute","TID_HINT_MUTE",,,,,,,,,,4,,,
"epic chest","TID_HINT_CHEST_EPIC",,,,,,,,1000,,,,,
"graveyard","TID_HINT_GRAVEYARD",,,,,,5,,,,,,,
"clone","TID_HINT_CLONE",,,,,,8,,,,,,,
"bandit","TID_HINT_BANDIT",,,,,,9,,,,,,,
"sparky2","TID_HINT_SPARKY2",,,,,,11,,,,,,,
"2v2 1","TID_HINT_2v2_1",,,,,,1,,,,,,,
"2v2 2","TID_HINT_2v2_2",,,,,,1,,,,,,,
"2v2 3","TID_HINT_2v2_3",,,,,,2,,,,,,,
"2v2 4","TID_HINT_2v2_4",,,,,,2,,,,,,,
"2v2 5","TID_HINT_2v2_5",,,,,,2,,,,,,,
"2v2 6","TID_HINT_2v2_6",,,,,,3,,,,,,,
