" ","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS"
"TID_TIME_SECS","sec","s","s","s","sec","sec","sek","sn","秒","초","с.","ث","seg","秒","秒","ثانیه","dtk","saat"
"TID_BUTTON_CANCEL","Cancel","Annuler","Abbr.","Cancelar","Annulla","Annuleren","Avbryt","İptal","キャンセル","취소","Отмена","إلغاء","Cancelar","取消","取消","لغو","Batalkan","Batal"
"TID_MATCHMAKING","Searching\nfor opponent","Recherche\nd'adversaire","Gegner\nsuchen","Buscando\nrival","Ricerca\navversari","Tegenstander\nzoeken...","Søker etter\nmotstander","Rakip\naranıyor","対戦相手を\n探しています","상대\n찾는 중","Ищем\nпротивника","البحث عن خصم","Buscando\nadversário","\n搜索对手","\n搜尋對手","جستجوی\nحریفان","Mencari\nlawan...","Mencari\npihak lawan"
"TID_MATCHMAKING_CHALLENGE","Waiting for Clanmate","En attente d'un adversaire","Warten auf Clanmitglied","Esperando a aliado","Attendi membro del clan","Wachten op clangenoot","Venter på klanvenn","Klan Arkadaşı bekleniyor","クランメンバー待ち","클랜원을 기다리는 중","Ждем соклановца","في انتظار عضو قبيلة","Esperando colega","等待部落成员回应","等待部落成員回應","انتظار برای هم‌قبیله‌ای","Menunggu Rekan Klan","Menunggu Rakan Klan"
"TID_MATCHMAKING_CHALLENGE_MULTIPLE","Waiting for Players","En attente de joueurs","Warten auf Spieler","Esperando a jugadores","In attesa di giocatori","Wachten op spelers","Venter på spillere","Oyuncular Bekleniyor","プレイヤーを待っています","플레이어들을 기다리는 중","Ждем игроков","في انتظار اللاعبين","Aguardando jogadores...","等待玩家","等待玩家","در انتظار بازیکن‌ها","Menunggu Pemain","Menunggu Pemain"
"TID_MATCHMAKING_WAITING","Waiting for\nTeammate","En attente\nd'un équipier","Warten auf\nMitspieler","Esperando a\ncompañero","In attesa di\nun compagno","Wachten op\nteamgenoot","Venter på\nlagkamerat","Takım arkadaşı\nbekleniyor","チームメイトを\n待っています","팀원을\n기다리는 중","Ждем\nчлена команды","بانتظار\nزميل في الفريق","Esperando\ncolega de clã.","等待\n队友","等待\n隊友","در انتظار\nهم‌تیمی","Menunggu\nRekan Tim...","Menunggu\nRakan Klan"
"TID_MATCHMAKING_MULTIPLE","Searching\nfor players","Recherche\nde joueurs","Suche\nnach Spielern","Buscando\njugadores","Ricerca\ngiocatori","Zoeken\nnaar spelers","Søker\netter spillere","Oyuncu\naranıyor","プレイヤーを\n探しています","플레이어\n찾는 중","Поиск\nигроков","بحث\nعن لاعبين","Buscando\njogadores","\n搜索玩家","\n搜索玩家","جستجوی\nبازیکنان","Mencari\npemain","Mencari\npemain"
"TID_MATCHMAKING_MULTIPLE_2","Searching\nfor opponents","Recherche\nd'adversaires","Suche\nnach Gegnern","Buscando\nrivales","Ricerca\navversari","Zoeken\nnaar tegenstanders","Søker\netter motstandere","Rakip\naranıyor","対戦相手を\n探しています","상대방\n찾는 중","Поиск\nпротивников","بحث\nعن خصوم","Buscando\noponentes","搜索\n对手","搜索\n對手","جستجوی\nحریفان","Mencari\nlawan","Mencari\npihak lawan"
"TID_CANCEL","Cancel","Annuler","Abbr.","Cancelar","Annulla","Annuleren","Avbryt","İptal","キャンセル","취소","Отмена","إلغاء","Cancelar","取消","取消","لغو","Batalkan","Batal"
"TID_CANCELLING","Cancelling","Annulation","Abbruch ...","Cancelando","Annullamento...","Annuleren...","Avbryter","İptal Ediliyor","キャンセル中","취소 중","Отменяем","جارٍ الإلغاء","Cancelando","正在取消","正在取消","درحال لغو","Membatalkan","Membatalkan"
"TID_TITLE_LEADERBOARD","Top Royales","Classements royaux","Beste Royales","Mejores nobles","Top Royale","Beste aristocraten","Toppadel","En İyi Asiller","ランキング","로얄 랭킹","Лучшие роялисты","أفضل الملكيين","Top Royales","皇室排行榜","皇室排行榜","سلطنتی‌های برتر","Royale Teratas","Diraja Teratas"
"TID_CHEST_DESCRIPTION_BASIC","Contains <c38c9ff>gold</c> and <c38c9ff><CARD_COUNT> cards</c>.","Contient de l'<c38c9ff>or</c> et <c38c9ff><CARD_COUNT> cartes</c>.","Enthält <c38c9ff>Gold</c> und <c38c9ff><CARD_COUNT> Karten</c>.","Contiene <c38c9ff>oro</c> y <c38c9ff><CARD_COUNT> cartas</c>.","Contiene <c38c9ff>oro</c> e <c38c9ff><CARD_COUNT> carte</c>.","Bevat <c38c9ff>goud</c> en <c38c9ff><CARD_COUNT> kaarten</c>.","Inneholder <c38c9ff>gull</c> og <c38c9ff><CARD_COUNT> kort</c>.","<c38c9ff>Altın</c> ve <c38c9ff><CARD_COUNT> kart</c> içerir.","<c38c9ff>ゴールド</c>と<c38c9ff>カード<CARD_COUNT>枚入り。</c>","<c38c9ff>골드</c> 및 <c38c9ff>카드 <CARD_COUNT>장이 들어있습니다</c>.","Содержит <c38c9ff>золото</c> и <c38c9ff>карты (<CARD_COUNT> шт.)</c>.","تحتوي على <c38c9ff>الذهب</c> و<c38c9ff><CARD_COUNT>من البطاقات</c>.","Contém <c38c9ff>ouro</c> e <c38c9ff><CARD_COUNT> cartas</c>.","藏有<c38c9ff>金币</c>和<c38c9ff><CARD_COUNT>张卡牌</c>。","藏有<c38c9ff>金幣</c>和<c38c9ff><CARD_COUNT>張卡牌</c>。","حاوی <c38c9ff>طلا</c> و <c38c9ff><CARD_COUNT>کارت</c> هست.","Berisi <c38c9ff>emas</c> dan <c38c9ff><CARD_COUNT> kartu</c>.","Mengandungi <c38c9ff>emas</c> dan <c38c9ff><CARD_COUNT> </c> kad."
"TID_CHEST_DESCRIPTION_ONE_RARE","Contains <c38c9ff>gold</c> and <c38c9ff><CARD_COUNT> cards</c>.\nAt least <c38c9ff>1 rare</c>.","Contient de l'<c38c9ff>or</c> et <c38c9ff><CARD_COUNT> cartes</c>.\nAu moins <c38c9ff>1 rare</c>.","Enthält <c38c9ff>Gold</c> und <c38c9ff><CARD_COUNT> Karten</c>.\nMindestens <c38c9ff>1 seltene</c>.","Contiene <c38c9ff>oro</c> y <c38c9ff><CARD_COUNT> cartas</c>.\n(Al menos <c38c9ff>1 especial</c>).","Contiene <c38c9ff>oro</c> e <c38c9ff><CARD_COUNT> carte</c>.\nAlmeno <c38c9ff>1 rara</c>.","Bevat <c38c9ff>goud</c> en <c38c9ff><CARD_COUNT> kaarten</c>.\nTen minste <c38c9ff>1 zeldzame</c>.","Inneholder <c38c9ff>gull</c> og <c38c9ff><CARD_COUNT> kort</c>.\nMinst <c38c9ff>1 sjeldent</c>.","<c38c9ff>Altın</c> ve <c38c9ff><CARD_COUNT> kart</c> içerir.\nEn az <c38c9ff>1 ender</c>.","<c38c9ff>ゴールド</c>と<c38c9ff>カード<CARD_COUNT>枚入り。</c>\n<c38c9ff>1枚はレア</c>確定。","<c38c9ff>골드</c> 및 <c38c9ff>카드 <CARD_COUNT>장이 들어있습니다</c>.\n최소한 <c38c9ff>희귀 카드 1장이 포함됩니다</c>.","Содержит <c38c9ff>золото</c> и <c38c9ff>карты (<CARD_COUNT> шт.)</c>.\nМинимум <c38c9ff>1 редкая</c>.","تحتوي على <c38c9ff>الذهب</c> و<c38c9ff><CARD_COUNT>من البطاقات</c>.\nعلى الأقل <c38c9ff>بطاقة نادرة</c>.","Contém <c38c9ff>ouro</c> e <c38c9ff><CARD_COUNT> cartas</c>.\nPelo menos <c38c9ff>1 rara</c>.","藏有<c38c9ff>金币</c>和<c38c9ff><CARD_COUNT>张卡牌</c>。\n至少<c38c9ff>1张稀有卡</c>。","藏有<c38c9ff>金幣</c>和<c38c9ff><CARD_COUNT>張卡牌</c>。\n至少<c38c9ff>1張稀有卡</c>。","حاوی <c38c9ff>طلا</c> و <c38c9ff><CARD_COUNT>کارت</c> هست.\nحداقل <c38c9ff>1 مورد کمیاب</c>.","Berisi <c38c9ff>emas</c> dan <c38c9ff><CARD_COUNT> kartu</c>.\nSetidaknya <c38c9ff>1 langka</c>.","Mengandungi <c38c9ff>emas</c> dan <c38c9ff><CARD_COUNT> kad</c>.\nSekurang-kurangnya <c38c9ff>1 jarang</c>."
"TID_CHEST_DESCRIPTION_MULTIPLE_RARES","Contains <c38c9ff>gold</c> and <c38c9ff><CARD_COUNT> cards</c>.\nAt least <c38c9ff><RARE_COUNT> rares</c>.","Contient de l'<c38c9ff>or</c> et <c38c9ff><CARD_COUNT> cartes</c>.\nAu moins <c38c9ff><RARE_COUNT> rares</c>.","Enthält <c38c9ff>Gold</c> und <c38c9ff><CARD_COUNT> Karten</c>.\nMindestens <c38c9ff><RARE_COUNT> seltene</c>.","Contiene <c38c9ff>oro</c> y <c38c9ff><CARD_COUNT> cartas</c>.\n(Al menos <c38c9ff><RARE_COUNT> especiales</c>).","Contiene <c38c9ff>oro</c> e <c38c9ff><CARD_COUNT> carte</c>.\nAlmeno <c38c9ff><RARE_COUNT> rare</c>.","Bevat <c38c9ff>goud</c> en <c38c9ff><CARD_COUNT> kaarten</c>.\nTen minste <c38c9ff><RARE_COUNT> zeldzame</c>.","Inneholder <c38c9ff>gull</c> og <c38c9ff><CARD_COUNT> kort</c>.\nMinst <c38c9ff><RARE_COUNT> sjeldne</c>.","<c38c9ff>Altın</c> ve <c38c9ff><CARD_COUNT> kart</c> içerir.\nEn az <c38c9ff><RARE_COUNT> ender</c>.","<c38c9ff>ゴールド</c>と<c38c9ff>カード<CARD_COUNT>枚入り。</c>\n<c38c9ff><RARE_COUNT>枚はレア</c>確定。","<c38c9ff>골드</c> 및 <c38c9ff>카드 <CARD_COUNT>장이 들어있습니다</c>.\n최소한 <c38c9ff>희귀 카드 <RARE_COUNT>장이 포함됩니다</c>.","Содержит <c38c9ff>золото</c> и <c38c9ff>карты (<CARD_COUNT> шт.)</c>.\nРедких минимум <c38c9ff><RARE_COUNT></c>.","تحتوي على <c38c9ff>الذهب</c> و<c38c9ff><CARD_COUNT>من البطاقات</c>.\nعلى الأقل <c38c9ff><RARE_COUNT> من البطاقات النادرة</c>.","Contém <c38c9ff>ouro</c> e <c38c9ff><CARD_COUNT> cartas</c>.\nPelo menos <c38c9ff><RARE_COUNT> raras</c>.","藏有<c38c9ff>金币</c>和<c38c9ff><CARD_COUNT>张卡牌</c>。\n至少<c38c9ff><RARE_COUNT>张稀有卡</c>。","藏有<c38c9ff>金幣</c>和<c38c9ff><CARD_COUNT>張卡牌</c>。\n至少<c38c9ff><RARE_COUNT>張稀有卡</c>。","حاوی <c38c9ff>طلا</c> و <c38c9ff><CARD_COUNT>کارت</c> هست.\nحداقل <c38c9ff><RARE_COUNT> مورد کمیاب</c>.","Berisi <c38c9ff>emas</c> dan <c38c9ff><CARD_COUNT> kartu</c>.\nSetidaknya <c38c9ff><RARE_COUNT> langka</c>.","Mengandungi <c38c9ff>emas</c> dan <c38c9ff><CARD_COUNT> kad</c>.\nSekurang-kurangnya <c38c9ff><RARE_COUNT> jarang</c>."
"TID_CHEST_DESCRIPTION_ONE_EPIC","Contains <c38c9ff>gold</c> and <c38c9ff><CARD_COUNT> cards</c>.\nAt least <c38c9ff>1 epic</c> and <c38c9ff><RARE_COUNT> rares</c>.","Contient de l'<c38c9ff>or</c> et <c38c9ff><CARD_COUNT> cartes</c>.\nAu moins <c38c9ff>1 épique</c> et <c38c9ff><RARE_COUNT> rares</c>.","Enthält <c38c9ff>Gold</c> und <c38c9ff><CARD_COUNT> Karten</c>.\nMindestens <c38c9ff>1 epische</c> und <c38c9ff><RARE_COUNT> seltene</c>.","Contiene <c38c9ff>oro</c> y <c38c9ff><CARD_COUNT> cartas</c>.\n(Al menos <c38c9ff>1 épica</c> y <c38c9ff><RARE_COUNT> especiales</c>).","Contiene <c38c9ff>oro</c> e <c38c9ff><CARD_COUNT> carte</c>.\nAlmeno <c38c9ff>1 epica</c> e <c38c9ff><RARE_COUNT> rare</c>.","Bevat <c38c9ff>goud</c> en <c38c9ff><CARD_COUNT> kaarten</c>.\nTen minste <c38c9ff>1 epische</c> en <c38c9ff><RARE_COUNT> zeldzame</c>.","Inneholder <c38c9ff>gull</c> og <c38c9ff><CARD_COUNT> kort</c>.\nMinst <c38c9ff>1 episk</c> og <c38c9ff><RARE_COUNT> sjeldne</c>.","<c38c9ff>Altın</c> ve <c38c9ff><CARD_COUNT> kart</c> içerir.\nEn az <c38c9ff>1 destansı</c> ve <c38c9ff><RARE_COUNT> ender</c>.","<c38c9ff>ゴールド</c>と<c38c9ff>カード<CARD_COUNT>枚入り。</c>\n<c38c9ff>1枚はスーパーレア</c>、<c38c9ff><RARE_COUNT>枚はレア</c>確定。","<c38c9ff>골드</c> 및 <c38c9ff>카드 <CARD_COUNT>장이 들어있습니다</c>.\n최소한 <c38c9ff>영웅 카드 1장</c> 및 <c38c9ff>희귀 카드 <RARE_COUNT>장이 포함됩니다</c>.","Содержит <c38c9ff>золото</c> и <c38c9ff>карты (<CARD_COUNT> шт.)</c>.\nМинимум <c38c9ff>1 эпическая и</c><c38c9ff> редкие (<RARE_COUNT> шт.)</c>.","تحتوي على <c38c9ff>الذهب</c> و<c38c9ff><CARD_COUNT> من البطاقات</c>.\nعلى الأقل <c38c9ff>بطاقة ممتازة</c> و<c38c9ff><RARE_COUNT> من البطاقات النادرة</c>.","Contém <c38c9ff>ouro</c> e <c38c9ff><CARD_COUNT> cartas</c>.\nPelo menos <c38c9ff>1 épica</c> e <c38c9ff><RARE_COUNT> raras</c>.","藏有<c38c9ff>金币</c>和<c38c9ff><CARD_COUNT>张卡牌</c>。\n至少<c38c9ff>1张史诗卡</c>和<c38c9ff><RARE_COUNT>张稀有卡</c>。","藏有<c38c9ff>金幣</c>和<c38c9ff><CARD_COUNT>張卡牌</c>。\n至少<c38c9ff>1張史詩卡</c>和<c38c9ff><RARE_COUNT>張稀有卡</c>。","حاوی <c38c9ff>طلا</c> و <c38c9ff><CARD_COUNT>کارت</c> هست.\nحداقل <c38c9ff>1 مورد حماسی</c> و <c38c9ff><RARE_COUNT> مورد کمیاب</c>.","Berisi <c38c9ff>emas</c> dan <c38c9ff><CARD_COUNT> kartu</c>.\nSetidaknya <c38c9ff>1 epik</c> dan <c38c9ff><RARE_COUNT> langka</c>.","Mengandungi <c38c9ff>emas</c> dan <c38c9ff><CARD_COUNT> kad</c>.\nSekurang-kurangnya <c38c9ff>1 epik</c> dan <c38c9ff><RARE_COUNT> jarang</c>."
"TID_CHEST_DESCRIPTION_MULTIPLE_EPICS","Contains <c38c9ff>gold</c> and <c38c9ff><CARD_COUNT> cards</c>.\nAt least <c38c9ff><EPIC_COUNT> epics</c> and <c38c9ff><RARE_COUNT> rares</c>.","Contient de l'<c38c9ff>or</c> et <c38c9ff><CARD_COUNT> cartes</c>.\nAu moins <c38c9ff><EPIC_COUNT> épiques</c> et <c38c9ff><RARE_COUNT> rares</c>.","Enthält <c38c9ff>Gold</c> und <c38c9ff><CARD_COUNT> Karten</c>.\nMindestens <c38c9ff><EPIC_COUNT> epische</c> und <c38c9ff><RARE_COUNT> seltene</c>.","Contiene <c38c9ff>oro</c> y <c38c9ff><CARD_COUNT> cartas</c>.\n(Al menos <c38c9ff><EPIC_COUNT> épicas</c> y <c38c9ff><RARE_COUNT> especiales</c>).","Contiene <c38c9ff>oro</c> e <c38c9ff><CARD_COUNT> carte</c>.\nAlmeno <c38c9ff><EPIC_COUNT> epiche</c> e <c38c9ff><RARE_COUNT> rare</c>.","Bevat <c38c9ff>goud</c> en <c38c9ff><CARD_COUNT> kaarten</c>.\nTen minste <c38c9ff><EPIC_COUNT> epische</c> en <c38c9ff><RARE_COUNT> zeldzame</c>.","Inneholder <c38c9ff>gull</c> og <c38c9ff><CARD_COUNT> kort</c>.\nMinst <c38c9ff><EPIC_COUNT> episke</c> og <c38c9ff><RARE_COUNT> sjeldne</c>.","<c38c9ff>Altın</c> ve <c38c9ff><CARD_COUNT> kart</c> içerir.\nEn az <c38c9ff><EPIC_COUNT> destansı</c> ve <c38c9ff><RARE_COUNT> ender</c>.","<c38c9ff>ゴールド</c>と<c38c9ff>カード<CARD_COUNT>枚入り。</c>\n<c38c9ff><EPIC_COUNT>枚はスーパーレア</c>、<c38c9ff><RARE_COUNT>枚はレア</c>確定。","<c38c9ff>골드</c> 및 <c38c9ff>카드 <CARD_COUNT>장이 들어있습니다</c>.\n최소한 <c38c9ff>영웅 카드 <EPIC_COUNT>장</c> 및 <c38c9ff>희귀 카드 <RARE_COUNT>장이 포함됩니다</c>.","Содержит <c38c9ff>золото</c> и <c38c9ff>карты (<CARD_COUNT> шт.)</c>.\nМинимум <c38c9ff>эпические —<EPIC_COUNT> и</c><c38c9ff>редкие — <RARE_COUNT></c>.","تحتوي على <c38c9ff>الذهب</c> و<c38c9ff><CARD_COUNT>من البطاقات</c>.\nعلى الأقل <c38c9ff><EPIC_COUNT> من البطاقات الممتازة</c> و<c38c9ff><RARE_COUNT> من البطاقات النادرة</c>.","Contém <c38c9ff>ouro</c> e <c38c9ff><CARD_COUNT> cartas</c>.\nPelo menos <c38c9ff><EPIC_COUNT> épicas</c> e <c38c9ff><RARE_COUNT> raras</c>.","藏有<c38c9ff>金币</c>和<c38c9ff><CARD_COUNT>张卡牌</c>。\n至少<c38c9ff><EPIC_COUNT>张史诗卡</c>和<c38c9ff><RARE_COUNT>张稀有卡</c>。","藏有<c38c9ff>金幣</c>和<c38c9ff><CARD_COUNT>張卡牌</c>。\n至少<c38c9ff><EPIC_COUNT>張史詩卡</c>和<c38c9ff><RARE_COUNT>張稀有卡</c>。","حاوی <c38c9ff>طلا</c> و <c38c9ff><CARD_COUNT>کارت</c>.\nحداقل <c38c9ff><EPIC_COUNT> مورد حماسی</c>و <c38c9ff><RARE_COUNT> مورد کمیاب</c>.","Berisi <c38c9ff>emas</c> dan <c38c9ff><CARD_COUNT> kartu</c>.\nSetidaknya <c38c9ff><EPIC_COUNT> epik</c> dan <c38c9ff><RARE_COUNT> langka</c>.","Mengandungi <c38c9ff>emas</c> dan <c38c9ff><CARD_COUNT> kad</c>.\nSekurang-kurangnya <c38c9ff><EPIC_COUNT> epik</c> dan <c38c9ff><RARE_COUNT> jarang</c>."
"TID_CHEST_WOOD","Wooden Chest","Coffre en bois","Holztruhe","Cofre de madera","Baule di legno","Houten kist","Trekiste","Tahta Sandık","木の宝箱","나무 상자","Деревянный сундук","صندوق خشبي","Baú de madeira","木质宝箱","木質寶箱","صندوق چوبی","Peti Kayu","Peti Berkayu"
"TID_CHEST_SILVER","Silver Chest","Coffre en argent","Silbertruhe","Cofre de plata","Baule d'argento","Zilveren kist","Sølvkiste","Gümüş Sandık","銀の宝箱","실버 상자","Серебряный сундук","صندوق فضي","Baú de prata","白银宝箱","白銀寶箱","صندوق نقره‌ای","Peti Perak","Peti Perak"
"TID_CHEST_GOLD","Golden Chest","Coffre en or","Goldtruhe","Cofre de oro","Baule d'oro","Gouden kist","Gullkiste","Altın Sandık","金の宝箱","골드 상자","Золотой сундук","صندوق ذهبي","Baú de ouro","黄金宝箱","黃金寶箱","صندوق طلایی","Peti Emas","Peti Emas"
"TID_CHEST_MAGICAL","Magical Chest","Coffre magique","Magietruhe","Cofre mágico","Baule magico","Magische kist","Magisk kiste","Büyülü Sandık","魔法の宝箱","마법 상자","Магический сундук","صندوق سحري","Baú mágico","神奇宝箱","神奇寶箱","صندوق جادویی","Peti Magis","Peti Ajaib"
"TID_CHEST_WOOD_NOTIFICATION","Wooden Chest unlocked!","Coffre en bois débloqué !","Holztruhe kann geöffnet werden!","¡Cofre de madera desbloqueado!","Baule di legno sbloccato!","Houten kist ontgrendeld!","Trekiste låst opp!","Tahta Sandığın kilidi açıldı!","木の宝箱がアンロックされました！","나무 상자 열림!","Открыт деревянный сундук!","تم فتح صندوق خشبي!","O baú de madeira foi aberto!","木质宝箱已解锁！","木質寶箱已解鎖！","قفل صندوق چوبی باز شد!","Peti Kayu terbuka!","Peti Berkayu dibuka kunci!"
"TID_CHEST_SILVER_NOTIFICATION","Silver Chest unlocked!","Coffre en argent débloqué !","Silbertruhe kann geöffnet werden!","¡Cofre de plata desbloqueado!","Baule d'argento sbloccato!","Zilveren kist ontgrendeld!","Sølvkiste låst opp!","Gümüş Sandığın kilidi açıldı!","銀の宝箱がアンロックされました！","실버 상자 열림!","Открыт серебряный сундук!","تم فتح صندوق فضي!","O baú de prata foi aberto!","白银宝箱已解锁！","白銀寶箱已解鎖！","قفل صندوق نقره‌ای باز شد!","Peti Perak terbuka!","Peti Perak dibuka kunci!"
"TID_CHEST_GOLD_NOTIFICATION","Golden Chest unlocked!","Coffre en or débloqué !","Goldtruhe kann geöffnet werden!","¡Cofre de oro desbloqueado!","Baule d'oro sbloccato!","Gouden kist ontgrendeld!","Gullkiste låst opp!","Altın Sandığın kilidi açıldı!","金の宝箱がアンロックされました！","골드 상자 열림!","Открыт золотой сундук!","تم فتح صندوق ذهبي!","O baú de ouro foi aberto!","黄金宝箱已解锁！","黃金寶箱已解鎖！","قفل صندوق طلایی باز شد!","Peti Emas terbuka!","Peti Emas dibuka kunci!"
"TID_CHEST_MAGICAL_NOTIFICATION","Magical Chest unlocked!","Coffre magique débloqué !","Magietruhe kann geöffnet werden!","¡Cofre mágico desbloqueado!","Baule magico sbloccato!","Magische kist ontgrendeld!","Magisk kiste opplåst!","Büyülü Sandığın kilidi açıldı!","魔法の宝箱がアンロックされました！","마법 상자 열림!","Открыт магический сундук!","تم فتح صندوق سحري!","Baú mágico aberto!","神奇宝箱已解锁！","神奇寶箱已解鎖！","قفل صندوق جادویی باز شد!","Peti Magis terbuka!","Peti Ajaib dibuka kunci!"
"TID_CHEST_INFO_GOLD","<MIN> - <MAX>","<MIN> - <MAX>","<MIN>-<MAX>","<MIN>-<MAX>","<MIN> - <MAX>","<MIN> - <MAX>","<MIN>-<MAX>","<MIN> - <MAX>","<MIN>～<MAX>","<MIN> - <MAX>","<MIN> - <MAX>","<MIN> - <MAX>","<MIN> - <MAX>","<MIN> - <MAX>","<MIN> - <MAX>","<MIN> - <MAX>","<MIN> - <MAX>","<MIN> - <MAX>"
"TID_CHEST_INFO_CARDS","x<COUNT>","x<COUNT>","x<COUNT>","x<COUNT>","x<COUNT>","<COUNT> x","x<COUNT>","<COUNT> tane","x<COUNT>","x<COUNT>","х <COUNT>","x<COUNT>","x <COUNT>","x<COUNT>","x<COUNT>","x<COUNT>","x<COUNT>","x<COUNT>"
"TID_CONTAINS_AT_LEAST","Contains at least:","Contient au moins :","Enthält mindestens:","Contiene, al menos:","Contiene almeno:","Bevat ten minste:","Inneholder minst:","En az içerdiği miktar:","確定レア","포함된 아이템:","Содержит минимум:","تحتوي على الأقل","Contém pelo menos:","至少包含：","至少含有：","حداقل حاوی:","Berisi setidaknya:","Mengandungi sekurang-kurangnya:"
"TID_COMMONS","Commons","Communes","Gewöhnliche","Comunes","Comuni","Gewone","Vanlige","Sıradan","ノーマル","일반 카드","Обычные","عادية","Comuns","张普通卡","張普通卡","مورد عادی","Umum","Biasa"
"TID_RARES","Rares","Rares","Seltene","Especiales","Rare","Zeldzame","Sjeldne","Enderler","レア","희귀 카드","Редкие","نادر","Raras","张稀有卡","張稀有卡","موارد کمیاب","Langka","Jarang"
"TID_EPICS","Epics","Épiques","Epische","Épicas","Epiche","Epische","Episke","Destansılar","スーパーレア","영웅 카드","Эпические","ممتاز","Épicas","张史诗卡","張史詩卡","مورد حماسی","Epik","Epik"
"TID_FORGOT_TO_OPEN_CHEST_NOTIFICATION","Oops! You forgot to unlock a chest!","Aïe ! Vous avez oublié de débloquer un coffre !","Upps! Du hast vergessen, eine Truhe zu öffnen!","¡Uy! Se te ha olvidado desbloquear un cofre.","Ops! Hai dimenticato di sbloccare un baule!","Oeps! Je bent vergeten een kist te ontgrendelen!","Ops! Du glemte å låse opp en kiste!","Eyvah! Bir sandığın kilidini açmayı unuttun!","まだアンロックしていない\n宝箱があります！","엇! 상자 여는 걸 깜박하셨어요!","Опаньки! Не забудь открыть сундук!","ويحي! نسيت إلغاء قفل أحد الصناديق!","Ops! Você se esqueceu de abrir um baú!","哎呀！您忘记解锁宝箱了！","哎呀！您有待解鎖的寶箱！","وای! فراموش کردی قفل یک صندوقچه رو باز کنی!","Ups! Kamu lupa membuka peti!","Alamak! Anda terlupa untuk membuka kunci peti!"
