"Name","Rarity","SightRange","DeployTime","ChargeRange","Speed","Hitpoints","HitSpeed","LoadTime","Damage","DamageSpecial","CrownTowerDamagePercent","LoadFirstHit","StopTimeAfterAttack","StopTimeAfterSpecialAttack","Projectile","CustomFirstProjectile","MultipleProjectiles","MultipleTargets","AllTargetsHit","Range","MinimumRange","SpecialMinRange","SpecialRange","SpecialLoadTime","SpecialReadyEffect","AttacksGround","AttacksAir","DeathDamageRadius","DeathDamage","DeathPushBack","AttackPushBack","LifeTime","ProjectileSpecial","ProjectileEffect","ProjectileEffectSpecial","AreaDamageRadius","TargetOnlyBuildings","SpecialAttackInterval","BuffOnDamage","BuffOnDamageTime","StartingBuff","StartingBuffTime","FileName","BlueExportName","BlueTopExportName","RedExportName","RedTopExportName","UseAnimator","AttachedCharacter","AttachedCharacterHeight","DamageEffect","DamageEffectSpecial","DeathEffect","MoveEffect","LoopMoveEffect","SpawnEffect","CrowdEffects","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","ShadowCustom","ShadowCustomLow","Pushback","IgnorePushback","Scale","CollisionRadius","Mass","TileSizeOverride","AreaBuff","AreaBuffTime","AreaBuffRadius","HealthBar","HealthBarOffsetY","ShowHealthNumber","FlyingHeight","FlyDirectPaths","FlyFromGround","DamageExportName","GrowTime","GrowSize","MorphCharacter","MorphEffect","HealOnMorph","AreaEffectOnMorph","MorphTime","MorphKeepTarget","AttackStartEffect","AttackStartEffectSpecial","DashImmuneToDamageTime","DashStartEffect","DashEffect","DashCooldown","JumpHeight","DashPushBack","DashRadius","DashDamage","DashFilter","DashConstantTime","DashLandingTime","LandingEffect","DashMinRange","DashMaxRange","JumpSpeed","ContinuousEffect","SpawnStartTime","SpawnInterval","SpawnNumber","SpawnLimit","SpawnPauseTime","SpawnCharacterLevelIndex","SpawnCharacter","SpawnProjectile","SpawnCharacterEffect","SpawnDeployBaseAnim","SpawnRadius","DeathSpawnCount","DeathSpawnCharacter","DeathSpawnProjectile","DeathSpawnRadius","DeathSpawnMinRadius","SpawnAngleShift","DeathSpawnDeployTime","DeathSpawnPushback","DeathAreaEffect","DeathInheritIgnoreList","Kamikaze","KamikazeTime","KamikazeEffect","SpawnPathfindSpeed","SpawnPathfindEffect","SpawnPathfindMorph","SpawnPushback","SpawnPushbackRadius","SpawnAreaObject","SpawnAreaObjectLevelIndex","ChargeEffect","TakeDamageEffect","ProjectileStartRadius","ProjectileStartZ","StopMovementAfterMS","WaitMS","DontStopMoveAnim","IsSummonerTower","NoDeploySizeW","NoDeploySizeH","TID","VariableDamageLifeTime","VariableDamageTransitionTime","VariableDamage2","VariableDamageTime1","VariableDamage3","VariableDamageTime2","TargettedDamageEffect1","TargettedDamageEffect2","TargettedDamageEffect3","DamageLevelTransitionEffect12","DamageLevelTransitionEffect23","FlameEffect1","FlameEffect2","FlameEffect3","TargetEffectY","SelfAsAoeCenter","HidesWhenNotAttacking","HideTimeMs","HideBeforeFirstHit","SpecialAttackWhenHidden","TargetedHitEffect","TargetedHitEffectSpecial","UpTimeMs","HideEffect","AppearEffect","AppearPushbackRadius","AppearPushback","AppearAreaObject","ManaCollectAmount","ManaGenerateTimeMs","ManaGenerateLimit","HasRotationOnTimeline","TurretMovement","ProjectileYOffset","ChargeSpeedMultiplier","DeployDelay","DeployBaseAnimExportName","JumpEnabled","SightClip","AreaEffectOnDash","SightClipSide","WalkingSpeedTweakPercentage","ShieldHitpoints","ShieldDiePushback","ShieldLostEffect","BlueShieldExportName","RedShieldExportName","LoadAttackEffect1","LoadAttackEffect2","LoadAttackEffect3","LoadAttackEffectReady","RotateAngleSpeed","DeployTimerDelay","RetargetAfterAttack","AttackShakeTime","VisualHitSpeed","Ability","Burst","BurstDelay","BurstKeepTarget","ActivationTime","AttackDashTime","LoopingFilter","BuildingTarget","SpawnConstPriority"
"ElixirCollector","Rare",,1000,,,580,,,,,,,,,,,,,,,,,,,,,,,,,,70000,,,,,,,,,,,"sc/building_elixir_collector.sc","building_elixir_pump_blue",,"building_elixir_pump_red",,,,,,,"elixircollector_die",,,"elixircollector_deploy",,55,50,-15,,35,,,,,100,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TID_BUILDING_ELIXIR_COLLECTOR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Xbow","Epic",11500,4000,,,1000,250,,,,,,,,"xbow_projectile",,,,,11500,,,,,,"true",,,,,,40000,,"XbowAttack",,,,,,,,,"sc/building_xbow.sc","building_xbow_attack1_1",,"building_xbow_red_attack1",,,,,,,"Cannon_die",,,"Xbow_deploy",,80,80,,,35,,,,,100,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,2400,,,,,,,"TID_BUILDING_XBOW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tombstone","Rare",,1000,,,240,10000,,,,,,,,,,,,,,,,,,,"true",,,,,,40000,,,,,,,,,,,"sc/building_tombstone.sc","building_tombstone_blue",,"building_tombstone_red",,,,,,,"tombstone_die",,,"tombstone_deploy",,90,60,-8,,5,,,,,100,1000,,,,,,,,,,,,"filter_damage_wobble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2950,2,"Skeleton",,,,,4,"Skeleton",,,,,,,,,,,,,,,,,,,,,400,400,,,,,,,"TID_BUILDING_TOMBSTONE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GiantSkeletonBomb","Epic",,3000,,,,,,,,,,,,,,,,,,,,,,,"true","true",3000,720,1800,,,,,,,,,,,,,"sc/building_mega_bomb.sc","giant_skeleton_bomb_blue",,"giant_skeleton_bomb_red",,,,,,,"MegaBombExplodeSkeleton",,,"GiantSkeleton_Bomb_deploy",,,,,,,,,,,100,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,400,,,,,,,"TID_BUILDING_GIANT_SKELETON_BOMB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BalloonBomb","Epic",,3000,,,,,,,,,,,,,,,,,,,,,,,"true","true",3000,205,,,,,,,,,,,,,,"sc/building_mega_bomb.sc","giant_skeleton_bomb_blue",,"giant_skeleton_bomb_red",,,,,,,"MegaBombExplodeSkeleton",,,"GiantSkeleton_Bomb_deploy",,,,,,,,,,,100,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,400,,,,,,,"TID_BUILDING_GIANT_SKELETON_BOMB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FirespiritHut","Rare",,1000,,,570,10000,,,,,,,,,,,,,,,,,,,"true",,,,,,50000,,,,,,,,,,,"sc/building_firespirit_hut.sc","firespirit_hut_blue",,"firespirit_hut_red",,,,,,,"goblin_hut_die",,,"Firespirit_building_spawn",,90,60,-8,,5,,,,,95,1000,,,,,,,,,,,,"filter_damage_wobble",,,,,,,,,,,,,,,,,,,,,,,,,,,,500,2,,9400,2,"FireSpirits",,,,,,,,,,,,,,,,,,,,,,,,,,,400,400,,,,,,,"TID_BUILDING_FIRE_SPIRIT_HUT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RageBarbarianBottle","Legendary",,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc/building_rage_bottle.sc","rage_bottle_fall",,"rage_bottle_fall",,,,,,,"rage_bottle_explode",,,"GiantSkeleton_Bomb_deploy",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BarbarianRage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KingTowerMiddle","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc/building_tower.sc","2vs2_red_tower_top",,"2vs2_red_tower_top",,,,,,,"king_2v2_die",,,,,102,60,-1,2,13,,,,,100,1400,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTINUSE21","Common",7000,,,,2400,1000,500,,,,,,,"KingProjectile",,,,,7000,,,,,,"true","true",,,,,,,"King_attack",,,,,,,,,"sc/building_tower.sc","KingTower_blue",,"KingTower_red",,,,2400,"musketeer_hit",,"King_player_die",,,,,102,60,-6,2,13,,,,,100,1400,,2,,,,"Summoner",-27,"true",,,,"filter_damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,3500,,,,,18,16,"TID_CHARACTER_WIZARD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTINUSE22","Legendary",,1000,,,800,10000,,,,,,,,,,,,,,,,,,,"true","true",,,,,40000,,,,,,,,,,,"sc/building_tombstone.sc","building_tombstone_blue",,"building_tombstone_red",,,,,,,"tombstone_die",,,"tombstone_deploy",,90,60,-8,,5,,,,,100,1000,,,,,,,,,,,,"filter_damage_wobble",,,,,,,,,,,,,,,,,,,,,,,,,,,,150,4,,6500,8,"Bat",,,,,3,"Bat",,,,,,,,,,,,,,,,,,,,,400,400,,,,,,,"TID_BUILDING_TOMBSTONE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SkeletonContainer","Common",,600,,,,,,,,,,,,,,,,,,,,,,,"true","true",,,,,,,,,,,,,,,,"sc/chr_skeleton_balloon.sc","skeleton_balloon_barrel_drop",,"skeleton_balloon_barrel_drop",,,,,,,"skeleton_container_explosion",,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skeleton",,,,,8,"Skeleton",,1800,100,,500,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE"
