"Name","Category","TID","Rarity","Disabled","Resource","Cost","Count","CycleDuration","CycleDeadzoneStart","CycleDeadzoneEnd","TopSection","SpecialOffer","DurationSecs","AvailabilitySecs","SyncToShopCycle","Chest","TrophyLimit","IAP","StarterPack_Item0_Type","StarterPack_Item0_ID","StarterPack_Item0_Param1","StarterPack_Item1_Type","StarterPack_Item1_ID","StarterPack_Item1_Param1","StarterPack_Item2_Type","StarterPack_Item2_ID","StarterPack_Item2_Param1","ValueMultiplier","AppendArenaToChestName","TiedToArenaUnlock","RepeatPurchaseGemPackOverride","EventName","CostAdjustBasedOnChestContents","IsChronosOffer"
"ChronosOffer_1","Chronos","TID_SPECIAL_OFFER_1",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier1",,,,,,,,,,,,,,,,"TRUE"
"ChronosOffer_2","Chronos","TID_SPECIAL_OFFER_2",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier2",,,,,,,,,,,,,,,,"TRUE"
"ChronosOffer_3","Chronos","TID_SPECIAL_OFFER_3",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier3",,,,,,,,,,,,,,,,"TRUE"
"ChronosOffer_4","Chronos","TID_SPECIAL_OFFER_4",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier4",,,,,,,,,,,,,,,,"TRUE"
"ChronosOffer_5","Chronos","TID_SPECIAL_OFFER_5",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier5",,,,,,,,,,,,,,,,"TRUE"
"ChronosOffer_6","Chronos","TID_SPECIAL_OFFER_6",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier6",,,,,,,,,,,,,,,,"TRUE"
"ChronosOffer_7","Chronos","TID_SPECIAL_OFFER_7",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier7",,,,,,,,,,,,,,,,"TRUE"
"ChronosOffer_8","Chronos","TID_SPECIAL_OFFER_8",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier8",,,,,,,,,,,,,,,,"TRUE"
"ChronosOffer_9","Chronos","TID_SPECIAL_OFFER_9",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier9",,,,,,,,,,,,,,,,"TRUE"
"ChronosOffer_10","Chronos","TID_SPECIAL_OFFER_10",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier10",,,,,,,,,,,,,,,,"TRUE"
"ChronosOffer_15","Chronos","TID_SPECIAL_OFFER_15",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier15",,,,,,,,,,,,,,,,"TRUE"
"ChronosOffer_20","Chronos","TID_SPECIAL_OFFER_20",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier20",,,,,,,,,,,,,,,,"TRUE"
"ChronosOffer_50","Chronos","TID_SPECIAL_OFFER_50",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier50",,,,,,,,,,,,,,,,"TRUE"
"ChronosOffer_60","Chronos","TID_SPECIAL_OFFER_60",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier60",,,,,,,,,,,,,,,,"TRUE"
"StarterPackArenaT","StarterPack","TID_SHOP_STARTER_PACK_ARENA_T",,,"IAP",,,10,3,2,,"TRUE",,,,,3800,"com.supercell.scroll.consumablestarterpack8","Chest","Draft_StarterPack_T",,"ResourceGold","Gold3",,,,,4,,,"com.supercell.scroll.gempack2",,,
"StarterPackArena1","StarterPack","TID_SHOP_STARTER_PACK_ARENA_1",,TRUE,"IAP",,,10,3,2,,"TRUE",,,,,100,"com.supercell.scroll.consumablestarterpack9","Chest","Magic_Arena1",,"ResourceDiamond","com.supercell.scroll.gempack5",,"ResourceGold","Gold1",,5,,,,,,
"StarterPackArena2","StarterPack","TID_SHOP_STARTER_PACK_ARENA_2",,,"IAP",,,10,3,2,,"TRUE",,,,,400,"com.supercell.scroll.consumablestarterpack10","Chest","Magic_Arena2",,"ResourceDiamond","com.supercell.scroll.gempack5",,"ResourceGold","Gold1",,6,,,,,,
